r,q,KL
0.5195321312604921,0.9504636963259352,0.10688289933903156
0.953495644057608,0.2540409137926392,0.056212723276989895
0.2388521297896746,0.60414585456393,0.03437178833125773
0.9368891415806342,0.08373669468714318,0.0191008663161284
0.3649663704471396,0.9977636809229763,0.0814814598029739
0.24515938336955206,0.832346124500704,0.04774231751855269
0.9441755249519054,0.03677735766732482,0.008570991666118659
0.5646707460215481,0.5675398131484446,0.07261336021848146
0.71589842729935,0.6093401370451036,0.09589434019326971
0.9981578075313527,0.006926579514268227,0.0017217596682330006
0.07903914826184845,0.17908387391323455,0.003512292845342237
0.9405499461084793,0.9022150797159882,0.1706385128368158
0.6826254235129406,0.4771535238392063,0.07371594691743909
0.986228651484175,0.4304962777294132,0.0948219124126607
0.0993108006902059,0.7889467175443293,0.019041761149663265
0.6053258626708541,0.984152999931121,0.1258126782186186
0.6165746933574605,0.36972579265242883,0.053014843251094124
0.79950570837929,0.968932869316235,0.15721375763221682
0.18356524592036025,0.9290263877654196,0.04029720504992824
0.9733640221726373,0.1776925857619811,0.04094652804997235
0.6573544171227422,0.6088516168445476,0.08880246138355989
0.6759977921165252,0.31359612122321817,0.04953307785288032
0.7694417686067508,0.736208582684992,0.12059705664413786
0.29796089905096773,0.9073890330483317,0.06206281716788875
0.09122867662700007,0.8886019451763882,0.01968361025620849
0.9629481045629773,0.9483208818699418,0.18222976130080912
0.9808334463682336,0.025403921371643712,0.006169631362394109
0.7050468186260926,0.7380385851991209,0.11196616252077156
0.6646503482856175,0.6726000765684877,0.09795507953000222
0.5872640633070054,0.6251876404890219,0.08212849962611031
0.1778050662335529,0.6376241879130655,0.027260629228722858
0.9395465035250665,0.909240810013527,0.171508774562437
0.3558677453936886,0.7909721325783341,0.06443148703087122
0.6870859785106622,0.15380728780750696,0.025496121173322946
0.27403003535872905,0.748991711948692,0.048011188985264366
0.8976731201304399,0.40300862274320715,0.08120725677804465
0.2160088200451978,0.9914071607390613,0.04994537910115399
0.9497784236367257,0.21160772639458297,0.04717603368143814
0.8660156878941009,0.4104755828190501,0.07987895944775511
0.4318986602351206,0.943287575105535,0.0901454926689295
0.6207711024332095,0.5802032446705759,0.0807462424340981
0.19147457450002656,0.391228190495662,0.018228061983894192
0.37214154002381883,0.5167401826213637,0.04516672836574399
0.8997367957176999,0.43062802041417775,0.08638033125023885
0.6989239234105539,0.586798571438141,0.09076682878021211
0.12225151596823874,0.7378377872921603,0.02184051433902924
0.4398645089094844,0.9562672548360988,0.09272455003050155
0.7607019000161697,0.2842011637487914,0.05047021515058978
0.22460047333240005,0.6485472070798252,0.0346810994555868
0.7933937621987412,0.6962159966701554,0.11802688319968216
0.3022688827928804,0.2927207490124872,0.021443665322609745
0.5770109798309938,0.7535131086748065,0.09555229854638153
0.9682181344373244,0.5381433132192781,0.112976248204434
0.3355144439517418,0.32973171649909216,0.026628343986852564
0.9522597621121279,0.7884287034284043,0.15433737283223878
0.595726995472253,0.30319482929164504,0.042595312129922513
0.6141841300261877,0.45349788948065145,0.06386814972932486
0.9720827989217936,0.13404169724716472,0.031232211769036105
0.6283146107393845,0.4031129864471294,0.05848808367218714
0.854750478146459,0.20345524067614962,0.041124370762419794
0.09659960009239785,0.26231334044184956,0.006264541137557339
0.9332805506830332,0.33839263309609363,0.0718129491314258
0.9127836019664565,0.6019168927797107,0.11773572253392459
0.8672246383493346,0.042285690553295674,0.009044216348215364
0.4646132862311647,0.33999794964160024,0.037490852120626
0.9214098768219999,0.08169986416871246,0.018340594319678372
0.7516060166911941,0.9712389049798026,0.14952061833727404
0.7967956706573888,0.5887796436386907,0.10233177315226655
0.9682032084179605,0.5076770927409894,0.10729445355647854
0.06833493302566342,0.9807495308962646,0.016342328216023865
0.7189629549222399,0.37033127147123357,0.0612719487891779
0.37311866577781794,0.4745672117057624,0.04177650737995992
0.5973505240857067,0.7117085259526298,0.09367992182309226
0.3737092545129591,0.14347570106052632,0.013143472993891635
