r,q,KL
0.9570930076385956,0.051729231983775215,0.012159668215029229
0.37718449802230153,0.8501913468087868,0.07262006001118106
0.9851384289185455,0.008895805535434675,0.0021813697261894773
0.375824652869929,0.9787675621852968,0.08221583771133727
0.9823209193233048,0.8270030258190536,0.16739788095720481
0.6813684213874265,0.7852109593263716,0.11466290597960475
0.9772540104194656,0.04808348700254651,0.011554222269938961
0.7006442881090491,0.2074392662069747,0.03465085595918835
0.7081948354793216,0.8498656310952117,0.12694045968550402
0.24272335650167454,0.43249481165503084,0.025313559377938635
0.8580647643486752,0.6523691115879879,0.11946749925877344
0.94528814875992,0.23451020166982403,0.0517234337598281
0.7056701990150732,0.4349475522251421,0.06983964190892665
0.28830292290383636,0.9741861932592555,0.06428800524245519
0.059117656103931535,0.8976776081085488,0.013004913308399152
0.4202085221549353,0.8442310376087409,0.07960814655087893
0.6338916982809099,0.3924046643347781,0.05753398711243356
0.0869081538112218,0.49302301873174237,0.010531731030052095
0.06972497886478349,0.6766893518310663,0.011579074783618798
1.0003244786214163,0.06080271295805605,0.014988258063186306
0.9562437897777035,0.8253329063847982,0.16112614025783908
0.43354695206482224,0.338215312471576,0.03492103139097958
0.8885500944618673,0.5757605479445135,0.11052458910657542
0.18713680462141205,0.7533018647084769,0.03362207128098073
0.5550674026142978,0.8271039370247957,0.10024750907926049
0.1427883115860933,0.9334384708515813,0.031840116351394665
0.93731270286241,0.14499469493622727,0.03251250042202271
0.8708631628320722,0.7455802110439378,0.13572276290975696
0.8396102740114487,0.1393513938678224,0.028132434166336217
0.9529008304860705,0.9065287561129272,0.17353080419474928
0.9888785363374559,0.030595631819971273,0.0074773588704102004
0.02787625907313975,0.5934858497511737,0.004100859616076584
0.9753750570410022,0.8776222913583388,0.1737851706304071
0.9762810400841875,0.06348308491245692,0.015168206044474268
0.5789273098176697,0.8502380653214597,0.10661949035886276
0.23630066385928483,0.9833112696494406,0.053923959850140445
0.811248962306085,0.35072635727224494,0.0651867426454803
0.7353230198663181,0.1988943667376529,0.03486382014346558
0.8305681269264005,0.2861468185534102,0.055144063488871894
0.32726131846284173,0.7164136248856782,0.05437837981035587
0.959348414962796,0.11226259446550862,0.02598141538078659
0.9533573775074693,0.10862827975822455,0.025018421990520005
0.9567592585687806,0.6372612878588721,0.12933249195787813
0.5972383250758987,0.042328721422259755,0.006254374321011852
0.9790496894910221,0.04771338555340964,0.011488270734511833
0.9713982694929318,0.3192719826106271,0.07079908903048521
